ticker,매출액(억원),영업이익률(%),순이익률(%),당기순이익(억원),ROE(%),ROA(%),ROIC(%),EPS(원),BPS(원),SPS(원),PER(배),PBR(배),PSR(배),price,price2
GS,134624.27,13.031,6.858,9233.11,12.129,4.691,9.8753,8507.933,73559.05,142158.36,6.35877,0.73546,0.38056,54100.0,62200.0
GS건설,110355.96,1.296,-0.185,-204.31464,-0.7859999999999999,-0.155,-5.159,-363.11768,47135.676,155430.94,-72.97909,0.56221,0.17049,26500.0,28300.0
GS글로벌,25537.91,1.426,0.629,160.73111,6.073,1.511,4.2843,300.6502700000001,3788.9844,49157.36,10.29435,0.81684,0.06296,3095.0,2795.0
GS리테일,74020.055,2.946,3.695,2735.3918,14.503,5.785,6.1911,3562.1128,25842.01,96129.945,13.36286,1.84196,0.49516,47600.0,40300.0
HDC,47498.863,10.889,6.968,3309.6135,12.32,5.86,19.5892,4068.9158,35632.055,63009.06200000001,11.58287,1.32268,0.74798,33421.0,28663.0
HDC현대EP,8611.59,7.997000000000001,5.938,511.37732,21.143,8.988999999999997,13.695,1603.0636,8387.628,26995.58,5.83882,1.11593,0.34672,9360.0,6800.0
HSD엔진,8029.166,0.528,-22.571,-1812.2646,-32.685,-13.12,2.7491,-2607.575,7687.264,11552.757,,0.40402,,2290.0,2569.0
JB금융지주,20971.42,12.050999999999998,9.625,2018.5,6.456,0.471,,917.7208,14663.103,13491.699,6.29821,0.39419,0.42841,5780.0,6070.0
JW중외제약,4674.6514,5.249,-2.339,-109.33544,-4.3580000000000005,-1.729,-8.3898,-513.5592,12269.862,21957.291,-96.02174,4.0190199999999985,2.24586,49313.0,43226.0
JW홀딩스,6848.391,6.33,-2.099,-143.76495,-7.866,-1.261,-7.0244,-137.45708,1781.7797,10865.898,-60.4467,4.66322,0.76467,8308.0,7983.0
KB금융,253558.34,6.614,8.638,21901.8,7.184,0.622,,5459.177,77814.59,64570.203,7.84001,0.55003,0.66284,42800.0,63400.0
KC그린홀딩스,3913.7146,6.6110000000000015,1.722,67.377464,2.994,1.476,6.9352,208.14212,7143.1733,17444.697,36.22525,1.05555,0.43222,7540.0,5200.0
KC코트렐,1792.776,3.332,0.508,9.107303,1.43,0.607,10.4014,75.01803000000002,5305.164000000002,15112.825,79.44757,1.12343,0.39437,5960.0,4790.0
KEC,2276.909,1.761,0.033,0.7502193,0.16699999999999998,0.021,3.4715,3.77452,2214.7188,2994.9255,264.93436,0.45152,0.3339,1000.0,1290.0
KG케미칼,8084.7334,8.987,3.506,283.47116,6.324,2.356,7.8279,1117.2289,18865.12,70329.625,13.20231,0.78187,0.20973000000000008,14750.0,24500.0
KISCO홀딩스,10580.585,8.228,7.359,778.64435,6.309,5.3679999999999986,10.8374,2482.7470000000008,48993.785,57265.465,4.93002,0.24983,0.21374,12240.0,14840.0
KPX케미칼,6473.619000000002,6.841,5.261,340.5969,8.005,6.553,11.682,6781.6914,87107.83,133752.47,8.75888,0.68191,0.4441,59400.0,69900.0
KPX홀딩스,6965.226,7.502000000000002,7.67,534.2548,5.2120000000000015,4.487,7.6599,7000.43,141449.05,164871.23,9.39942,0.46519,0.3991,65800.0,65500.0
KR모터스,847.75354,-9.604,-11.771,-99.78618,-15.817,-6.513,-6.4565,-356.97455,2085.4885,3033.0898,-11.75166,2.01154,1.3831,1298.0,489.0
KSS해운,1411.4403,23.113000000000003,9.404,132.72683999999998,5.909,2.224,5.2641,571.0178,10265.338,6087.4995,14.16768,0.78809,1.32895,8090.0,9070.0
KTB투자증권,2630.8286,10.919,13.847,364.28336,8.299,3.049,,513.92334,6430.521,3726.5532,5.69151,0.45486,0.78491,2925.0,3895.0
KTcs,9536.74,0.922,0.8240000000000001,78.54633000000003,5.125,2.345,10.3402,178.93117,3603.487,22342.137,13.860079999999998,0.6882199999999999,0.111,2480.0,2270.0
KTis,4367.2959999999985,3.018,2.2880000000000003,99.90999,6.3820000000000014,4.618,10.0491,287.08118,4650.347,12548.9795,12.88834,0.79564,0.29484,3700.0,3020.0
LF,15292.966,5.165,3.345,511.55667,4.9910000000000005,3.3480000000000003,7.622999999999997,1766.8381,36006.246,52301.527,12.19693,0.59851,0.41203,21550.0,31300.0
LG,96738.87,13.673,11.28,10912.58,8.006,5.803,35.957,6111.241,78934.23,55005.332,9.81797,0.76013,1.0908,60000.0,91000.0
LG디스플레이,265040.75,4.948,3.515,9315.08,7.211,3.925,6.6201,2534.0225,36208.574,74071.86,12.4111,0.8685799999999999,0.42459,31450.0,29900.0
LG상사,119667.17,1.455,0.708,847.5068,4.75,1.605,4.3325,1500.1571,32305.375,308738.84,19.49796,0.90542,0.09474,29250.0,27150.0
LG생활건강,60940.59400000001,14.456,9.505,5792.3984,24.869,13.29,21.0921,32070.459,151130.98,343949.44,26.72241,5.67058,2.49165,857000.0,1189000.0
LG유플러스,114510.46,6.519,4.303,4927.39,10.627,4.1160000000000005,7.4129999999999985,1128.6216,11053.549,26227.092,10.14512,1.03587,0.43657,11450.0,14000.0
LG이노텍,57545.656,1.822,0.086,49.529694,0.28,0.12,1.7851,209.2765,75153.64,243146.12,422.40765,1.17626,0.36357,88400.0,144000.0
LG전자,553670.3,2.416,0.228,1263.15,0.6509999999999999,0.341,2.3061,425.13623,66570.58,306176.34,121.37286,0.77512,0.16853,51600.0,106000.0
LG하우시스,29283.37,5.3610000000000015,2.553,747.48,8.294,3.295,6.9346,7513.6,93926.664,292833.7,12.7369,1.01888,0.32681,95700.0,97100.0
LG헬로비전,11006.348,3.901,1.955,215.12793,2.2430000000000003,1.12,2.1676,277.77487,12481.523,14211.483,33.73235,0.75071,0.65933,9370.0,7100.0
LG화학,206592.95,9.642,6.2010000000000005,12809.94,9.515,6.558,10.1133,17335.908,192954.62,279557.38,15.05546,1.35265,0.93362,261000.0,405000.0
LS,85075.15,3.283,2.529,2151.38,7.075,2.196,3.5797,5222.5464,88286.336,264208.53,11.35461,0.67168,0.22444,59300.0,72500.0
LS네트웍스,4870.4253,-11.957,-17.892,-871.43066,-13.481,-6.2639999999999985,-25.076,-1105.6196,8203.438,6179.3076,-2.74507,0.36997,0.49116,3035.0,2895.0
LS산전,22136.16,5.621,3.648,807.47595,7.769,3.5780000000000003,5.6754,2690.3984,36302.836,73787.2,14.77476,1.09496,0.53871,39750.0,65100.0
MH에탄올,488.97025,24.285,16.657,81.44684000000002,13.411,10.764,20.8886,1103.8362,8820.372,6626.937,7.156860000000001,0.89565,1.1921,7900.0,6340.0
NAVER,40226.297,27.396,18.87,7590.7295,26.20300000000001,14.114,137.7755,4546.388,24957.107000000004,24407.176,34.093,6.21066,6.3506,155000.0,174000.0
NH투자증권,88415.46,3.415,2.672,2362.21,5.143,0.5579999999999999,,786.1733,15497.198,29444.354,12.27465,0.62269,0.32774000000000003,9650.0,13900.0
NICE,13464.114,9.427,6.742000000000001,907.7925,10.65,6.849,15.3145,1378.7786,14397.348,35541.965,12.76492,1.22245,0.49519,17600.0,14650.0
NI스틸,1143.2594,12.373,8.942,102.23144,12.374,5.3260000000000005,5.9813,359.62985,3055.354000000001,4021.759,8.7173,1.02607,0.77951,3135.0,2930.0
OCI,27366.863,4.842,8.017000000000001,2194.0754,7.872000000000001,3.239,-0.3803,10151.497,133994.52,114748.78,7.75255,0.58734,0.68585,78700.0,136000.0
S&TC,2540.8992,0.47,0.653,16.597417999999998,0.72,0.5,-1.936,221.10106,30612.541,33848.367,82.16731999999998,0.59346,0.53673,18167.0,15670.0
S&T모티브,11538.108,6.21,2.977,343.44244,5.007,2.837,4.6029,2295.1885,46542.03,78903.1,21.28365,1.04959,0.61911,48850.0,46850.0
S&T중공업,4680.0776,-0.309,-5.221,-244.35794,-3.671,-2.697,-0.7909999999999999,-734.8515,21043.785,14074.28,-12.36877,0.43192,0.64579,9089.0,7310.0
S&T홀딩스,15377.003,4.7010000000000005,0.66,101.46568,0.467,0.463,0.805,168.82041999999996,36409.875,94314.95,91.27075,0.42319,0.16337000000000002,15408.0,15750.0
S-Oil,163218.44,9.906,7.385,12053.64,20.462,9.738,16.8659,10337.181,54900.79,139975.83,8.193719999999999,1.5427799999999998,0.6051,84700.0,117000.0
SBS미디어홀딩스,5045.0967,4.24,2.632,132.7783,1.846,1.486,8.6922,90.19223,4916.5503,3606.3145,29.65888,0.54408,0.74175,2675.0,3055.0
SG세계물산,3086.179,0.426,-1.226,-37.849663,-1.882,-1.275,0.733,-18.69812,987.24854,1524.604,-61.2361,1.15979,0.7510100000000001,1145.0,927.0
SG충방,1414.5645,2.575,-0.935,-13.232466,-1.122,-0.64,-10.9734,-31.69637,2820.0625,3388.3748,-107.74106,1.21097,1.00786,3415.0,4000.0
SH에너지화학,2183.9768,11.035,8.255,180.28877,18.664,15.023,21.6482,161.22236999999996,922.25903,1965.0691,9.76912,1.70776,0.8015,1575.0,1405.0
SIMPAC,2670.7415,8.824,6.06,161.83842,6.851,3.85,8.8404,556.4341,9074.549,9182.563,8.51853,0.5223399999999999,0.5162,4740.0,4130.0
SK,827298.75,6.382999999999999,3.412,28224.84,5.962999999999999,2.827,6.5877,10794.001,232535.3,1166418.1,21.26181,0.98695,0.19676,229500.0,283000.0
SKC,23594.402,6.3279999999999985,1.24,292.62915,3.007,0.8109999999999999,5.0819,1149.7887,39069.004,63316.82,28.70093,0.8446600000000001,0.5211899999999999,33000.0,47000.0
SK가스,52715.492,3.748,3.57,1881.7006,13.115,4.617,6.6368,18455.885,155281.69,571117.0,6.83635,0.81253,0.22092,126171.0,92572.0
SK네트웍스,129046.74,1.205,-0.632,-815.71,-3.297,-0.97,3.8625,-328.97534,9778.388,51971.836,-21.03501,0.70768,0.13315,6920.0,6650.0
SK디스커버리,53221.82,3.564,3.304,1758.6477,5.353,2.677,3.7936,3046.304,66541.65,196242.89,27.16584000000001,1.24366,0.42169,41377.0,52000.0
SK렌터카,6476.4443,5.052,1.055,68.30556999999999,3.479,0.623,1.8256,360.20374,10577.91,29243.912,23.18133,0.78938,0.28553,8350.0,9910.0
SK이노베이션,395205.38,8.169,4.356,17214.343999999994,10.132,5.384,13.5204,17834.459,183524.97,421714.4,8.21443,0.7982600000000001,0.34739000000000003,146500.0,204500.0
SK증권,4671.349,1.685,2.451,114.47604,2.77,0.308,,33.17495,1243.5576,1353.7489,28.82702,0.76903,0.70644,956.0,1078.0
SK텔레콤,170918.16,8.985,9.713,16601.01,10.736,5.545,7.1082,20756.111,226194.44,211674.6,10.792,0.9903,1.05823,224000.0,267000.0
SK하이닉스,171979.75,19.053,17.214000000000002,29604.83,13.011,9.566,10.7919,4057.3687,34018.26,23623.516,11.01699,1.314,1.89218,44700.0,76500.0
SPC삼립,18703.354,3.502,2.648,495.31625,18.119,7.694,13.9164,5737.193,35095.055,216749.73,29.54407,4.82974,0.78201,169500.0,156500.0
STX,17201.53,-1.986,-26.593000000000004,-4574.46,354.261,-46.325,-10.4747,-145657.6,-69875.36,547722.2,-0.11397,-0.23757,0.030310000000000007,16600.0,23850.0
STX엔진,5298.4614,0.777,-5.275,-279.509,,,,-1010.6521,3879.7468,19158.242,-6.56012,1.70887,0.34607,6630.0,9150.0
STX중공업,4164.8936,-68.001,-172.46599999999995,-7183.0396,284.6740000000001,-63.293,-595.9393,-2386566.0,-2376350.0,1383786.5,-0.07845,-0.07877999999999999,0.13529000000000002,68896.0,35703.0
TCC스틸,4444.536,3.454,3.257,144.75061000000005,15.575,4.37,8.0627,630.3109,4641.71,19324.07,3.79883,0.53105,0.1239,2394.0,1835.0
WISCOM,1344.6864,1.096,1.409,18.943548,1.604,1.433,1.0285,123.60046,7713.3374,8773.639000000001,33.16487,0.5314399999999999,0.46722,4099.0,3967.0
YG PLUS,703.6304,-9.608,-7.742000000000001,-54.47738,-4.009,-4.549,-26.186,-70.75922,1749.4838,1204.1417,-29.67811,1.20035,1.74398,2100.0,2000.0
가온전선,7494.4497,2.05,0.386,28.921124,1.042,0.557,4.9679,656.7759,66929.33,180140.02,33.80149,0.33169,0.12324,22200.0,22950.0
강남제비스코,3323.3362,11.078,11.231,373.23184,7.713999999999999,6.64,14.4153,5335.313,71405.66,51128.246,6.77561,0.50626,0.70705,36150.0,37450.0
강원랜드,16965.324,36.464,26.792,4545.3364,14.547,11.853,57.8691,2124.8408,16042.903,7929.927,16.82479,2.2284,4.50824,35750.0,34800.0
갤럭시아에스엠,465.4466,-7.465,-3.357,-15.626203,-3.304,-2.458,-29.9502,-56.72016,1627.8552,1689.4832,-37.46463,1.3054,1.25778,2125.0,2935.0
경농,2039.8494,4.495,3.1210000000000004,63.65805,3.864,1.998,2.5446,300.6840200000001,9587.93,9403.803,19.28935,0.60493,0.6167699999999999,5800.0,6010.0
경동나비엔,5832.529,7.858,6.424,374.69925,16.785999999999998,9.009,13.7638,2898.4097,18699.252,45782.992,14.85297,2.30223,0.94031,43050.0,51300.0
경동인베스트,1599.2489,-0.04,11.963,191.32416,3.3360000000000003,1.668,2.1223,5160.9946,163747.94,45892.13,13.79112,0.43467,1.55094,80418.0,42750.0
경방,3774.4502,11.508,7.809,294.74988,4.391,2.25,13.2475,1075.2778,24798.748,13767.692,14.228879999999998,0.61697,1.1113,15300.0,13900.0
경인양행,2748.7383,3.848,2.488,68.37522,2.705,2.0380000000000003,2.574,126.90112,4867.2964,6804.4194,39.32195,1.02521,0.73335,4990.0,5800.0
경인전자,265.74423,2.563,11.112,29.530653000000004,4.948,4.595,-0.2441,1879.979,43554.855,16917.795,11.99482,0.51774,1.33292,22550.0,19700.0
계룡건설산업,19585.137,3.964,0.951,186.20154,5.909,1.36,27.2676,1864.2302,32565.234,219296.16,7.563439999999999,0.43298,0.0643,14100.0,17300.0
계양전기,3289.2021,4.3260000000000005,5.239,172.33731,10.088,7.566,7.5924,499.46432,5183.4214,9674.124,10.09081,0.97233,0.52098,5040.0,4510.0
고려개발,6238.6484,4.223,-4.895,-305.36188,141.454,-4.9030000000000005,20.4625,-3118.7156,1988.3921,63716.438,,6.32672,,12430.0,11659.0
고려산업,1722.7971,3.877,3.978,68.525734,8.664,4.181,7.3919,278.69717,3455.8306,6907.9263,23.93279,1.93007,0.96556,6670.0,2690.0
고려아연,58475.133,13.077,10.168,5945.8433,11.184,9.597,15.1051,31394.676,312118.3,309884.1,15.12995,1.52186,1.53283,475000.0,493000.0
고려제강,14174.445,2.612,2.842,402.89728,2.917,1.651,1.9591,1999.0548,69261.586,70872.23,18.08714,0.52204,0.51017,36157.0,32800.0
광동제약,10564.288,4.202,2.641,278.99594,7.7639999999999985,4.1530000000000005,7.6644,535.3366,9191.298,20152.836,15.91522,0.92696,0.42277,8520.0,8750.0
광명전기,969.4291,3.731,11.96,115.93891,11.753,8.331,10.2467,226.61592,2064.4165,2236.923,14.38557,1.57914,1.45736,3260.0,2590.0
광전자,1709.2837,-0.848,1.183,20.221865,0.976,0.838,-1.341,34.3057,3889.476,2949.9011,67.773,0.59777,0.7881600000000001,2325.0,2775.0
광주신세계,2104.2358,26.635,21.649,455.54028,8.883,6.928,16.3369,28471.268,333931.38,131514.75,8.7281,0.74416,1.88952,248500.0,229500.0
교보증권,11108.379,6.496,5.608,623.00385,8.703,1.17,,1730.5663,21496.844,30856.607000000004,5.09082,0.40983,0.28551,8810.0,9070.0
국도화학,9526.334,3.882,2.7880000000000003,265.588,6.084,3.894,5.8729999999999976,4490.1104,75108.47,163947.06,12.22687,0.7309399999999999,0.33486,54900.0,63100.0
국동,1973.6873,5.352,3.1460000000000004,62.087486,14.97,5.699,8.3069,480.87765999999993,3839.5063,15286.527,7.19969,0.90172,0.2265,3462.0,2646.0
국보,873.33325,0.234,-4.795,-41.872723,-25.321,-5.0939999999999985,0.4697,-342.8192,1224.912,7038.984,-5.078880000000002,1.4213,0.24734,1741.0,938.0
국제약품,1206.8401,3.289,0.662,7.9893885,1.139,0.6,1.2954,42.01303,3840.0645,6558.728,103.76296,1.13524,0.66466,4359.0,5175.0
그린케미칼,2436.108,1.669,1.18,28.741167,2.484,1.3530000000000002,3.3213,119.75487,4812.5737,10150.45,32.32297,0.80432,0.38135,3870.0,3604.0
극동유화,2311.6663,7.1960000000000015,6.05,139.85965,10.345,7.377000000000002,12.755,401.09543,4011.566,6629.4946,8.15267,0.81514,0.49325,3270.0,3400.0
금강공업,6031.6045,9.339,5.9289999999999985,357.6392,12.693,5.149,8.7201,6163.3115,11473.847,121264.14,6.3439999999999985,0.68155,0.32245,7820.0,5740.0
금양,1686.8175,7.19,-12.169,-205.26295,-44.989,-11.923,1.8299,-519.4548,1004.3481,4286.3423,-5.74641,2.97208,0.6964,2985.0,2480.0
금호산업,13537.096,3.088,2.662,360.36542,11.984000000000002,2.789,107.956,1020.8142,8802.263,38346.797,9.48263,1.09972,0.25243000000000004,9680.0,9510.0
금호석유화학,39704.355,3.956,2.0340000000000003,807.6482,4.612,1.845,4.0213,2187.035,58057.855,118551.69,37.49369,1.41238,0.6916800000000001,82000.0,99500.0
금호전기,4151.898,1.778,-4.195,-174.15921,-18.392,-3.721,2.3386,-3030.327,16732.746,59512.04,-3.10532,0.56238,0.15812,9410.0,7150.0
금호타이어,29472.277,4.073,-1.286,-378.95035,-3.2110000000000003,-0.733,2.5801,-228.17036,6975.9473,18654.148,-37.16521,1.21561,0.45459,8480.0,4425.0
기아자동차,527129.06,4.67,5.226,27546.4,10.849,5.687,11.2168,6795.484,66294.22,130038.66,5.77589,0.59206,0.30183000000000004,39250.0,33500.0
기업은행,152777.06,10.032,7.622999999999997,11646.01,6.586,0.469,,1761.6064,27281.613,23250.516,7.20933,0.46552,0.5462199999999999,12700.0,16450.0
까뮤이앤씨,1397.0806,3.18,2.331,32.562529999999995,6.721,2.39,7.8084,72.11714,1153.474,3094.1528,,0.95798,,1105.0,1010.0
깨끗한나라,7060.33,2.597,1.08,76.27493,3.645,1.465,3.3959,198.56055,5548.844,18779.455,28.807340000000003,1.03085,0.30459,5308.0,3860.0
나노메딕스,383.61917,11.093,5.397,20.705513,18.366,11.496,42.4678,124.96363999999998,790.4504,2317.7368,21.12614,3.33987,1.13904,2640.0,6250.0
남광토건,1835.987,-5.065,-1.171,-21.49173,-5.367000000000001,-1.035,,-219.38274,4153.0273,18741.342,-33.184020000000004,1.7529400000000002,0.38845,7280.0,6030.0
남선알미늄,4007.343,6.034,5.091,203.99638,18.082,7.164,14.3612,184.63387,1109.3549,3626.9822,6.44519,1.0727,0.3281,1190.0,990.0
남성,837.2429,5.445,1.586,13.277298000000002,1.868,0.654,6.7238,37.56349,3319.6494,2312.049,48.85063,0.55277,0.79367,1835.0,2160.0
남양유업,12391.682,3.3760000000000003,3.0,371.76242,4.277,3.652,7.3604,41928.31200000001,1050706.4,1397565.5,17.50607,0.69858,0.5252,734000.0,697000.0
남영비비안,2074.9526,-0.949,-1.103,-22.895346,-1.6669999999999998,-1.371,-2.1013,-32.3243,2031.7288,3021.2134,,0.43559,,885.0,777.0
남해화학,10964.935,1.162,1.314,144.0262,,,,291.9163,8293.065999999999,22071.639,28.77537,1.01289,0.38058,8400.0,10700.0
넥센,3214.0835,33.935,30.922,993.87103,12.86,10.723,60.044,1824.2603,15115.539,5899.4824,4.42919,0.53455,1.36961,8080.0,7590.0
넥센타이어,18947.027,13.09,9.287,1759.6171,15.657,6.769,9.3692,1688.5549,11765.56,18410.207,7.69889,1.10492,0.70613,13000.0,11800.0
넥스트사이언스,182.55841,11.289,-12.599,-22.99975,-5.621,-3.959,25.6523,-196.1932,3467.2356,1557.2656,-22.2995,1.26181,2.8094,4375.0,4275.0
노루페인트,4789.3555,6.513,1.984,95.00106,3.469,1.662,2.5811,464.25488,13509.863,23404.809,18.41661,0.6328699999999999,0.36531,8550.0,8680.0
노루홀딩스,6901.4443,3.29,3.023,208.62482,3.155,2.132,0.8442,809.172,33509.02,51211.332,19.27897,0.46555,0.30462,15600.0,16100.0
녹십자,11979.039,6.549,5.439,651.52454,6.459,4.394,5.5449,5388.2124,87010.94,102502.89,29.13768,1.80437,1.53166,157000.0,226000.0
녹십자홀딩스,13544.662,7.3279999999999985,5.483,742.6354,6.274,3.448,4.2377,952.2349,16995.3,27339.166,24.99383,1.40039,0.87055,23800.0,39250.0
농심,22170.152,4.046,8.986,1992.2966,11.638,8.132,6.5838,32763.674,309526.8,364482.28,10.14843,1.0742200000000002,0.91225,332500.0,354000.0
농심홀딩스,4978.276,17.445999999999998,15.948,793.94495,9.806,7.0360000000000005,33.6464,17110.852,181173.61,107341.55,7.0423100000000005,0.6651100000000001,1.12258,120500.0,114500.0
다스코,1571.3716,10.076,7.835,123.11539,13.078,8.613999999999999,12.88,841.6844,6874.388000000001,10733.883999999998,7.34242,0.89899,0.57575,6180.0,6570.0
다우기술,11534.201,21.971,16.644000000000002,1919.7802,10.946,2.344,8.491,2173.2583,21516.879,25707.758,8.28249,0.83655,0.70018,18000.0,19250.0
대교,8207.174,5.221,5.092,417.90445,6.597,5.008,18.5933,408.69974,7265.8354,7881.6733,19.89235,1.11894,1.03151,8130.0,8200.0
대덕전자,4908.6807,5.859,4.76,233.67136,5.063,4.315,6.0305,478.87106,11210.21,10059.535,17.04008,0.7279100000000001,0.81117,8160.0,9860.0
대동공업,5854.14,-2.217,-3.07,-179.72704,-8.187000000000001,-2.652,-3.3001,-755.204,10129.588,24671.646,-9.46764,0.70585,0.28981,7150.0,9600.0
대림비앤코,2090.9014,6.863,3.519,73.584816,5.165,2.528,3.8421,498.86386,9265.56,13463.231000000002,16.69794,0.8990299999999999,0.6187199999999999,8330.0,6380.0
대림산업,98537.7,4.256,2.975,2931.9534,5.925,2.398,8.5335,6873.1245,119454.266,255279.02,12.67255,0.72915,0.3412,87100.0,82400.0
대림통상,1743.6892,2.478,0.195,3.3919627999999995,0.277,0.146,0.9151,21.38783,7648.6953,11452.803,285.20895,0.79752,0.53262,6100.0,5500.0
대상,28550.09,3.89,2.104,600.63306,7.872999999999997,2.722,5.1214,1794.0768,23548.783,79265.625,14.71509,1.12108,0.33306,26400.0,27550.0
대상홀딩스,33180.85,4.101,2.026,672.174,5.932,2.6,6.0139999999999985,773.5734,13368.062,89373.58,13.31483,0.77049,0.11525,10300.0,9950.0
대성산업,8369.928,-2.539,-16.12,-1349.2736,-63.967,-12.351,-1.5759999999999998,-2363.0566,3949.8823,19642.352,-1.8366,1.09877,0.22095,4340.0,3835.0
대성에너지,7385.623,2.611,1.893,139.82481,4.843,2.238,3.9053,508.4539,10629.001,26856.81,12.58718,0.60213,0.2383,6400.0,6030.0
대성홀딩스,8746.654,3.08,2.6710000000000003,233.5991,3.697,2.06,4.7946,882.6189999999997,24081.848,54362.64,11.32992,0.41525,0.18395,10000.0,7940.0
대신증권,41346.504,2.015,1.79,740.18884,4.218,0.407,,853.0061,24952.277,47648.824,12.19218,0.4168,0.21826,10400.0,14400.0
대양금속,1462.4752,6.73,3.168,46.33576,32.34,4.665,11.5033,176.39667,629.19995,5567.5303,23.10134,6.4764800000000005,0.73192,4075.0,3200.0
대영포장,2671.0896,2.52,4.013,107.18164,8.154,5.097,4.5006,102.08265,1295.913,2544.0168,9.20822,0.72536,0.36949,940.0,845.0
대우건설,111059.305,-4.207,-6.797999999999999,-7549.273,-30.872,-7.536,-34.7287,-1770.4686,4944.4814,26721.188,-2.8693,1.02741,0.19011,5080.0,5920.0
대우부품,535.6798,5.049,4.596,24.62001,7.644,3.772,6.0048,54.345,743.1053,1182.4333,28.7975,2.10603,1.32354,1565.0,2655.0
대우조선해양,128192.21,-11.942,-21.76,-27894.875,-279.568,-16.435,-21.1847,-126098.4,15663.493,591222.06,-0.3553,2.86015,0.0758,22400.0,13900.0
대웅,10149.659,6.009,3.406,345.73862,4.169,2.552,3.1674,341.08014,11250.321000000002,17456.68,25.82971,0.78309,0.50468,8810.0,19350.0
대웅제약,8839.204,2.929,2.9560000000000004,261.2587,5.506,2.501,2.4683,2327.6785,48396.4,76288.33,29.51439,1.41953,0.9005299999999999,68700.0,164500.0
대원강업,10761.163,5.5470000000000015,4.288,461.41122,8.837,3.773,5.933,618.9301,7242.831,17356.715,7.2383,0.61854,0.25811,4480.0,3740.0
