,ticker,매출액(억원),영업이익률(%),순이익률(%),당기순이익(억원),ROE(%),ROA(%),ROIC(%),EPS(원),BPS(원),SPS(원),PER(배),PBR(배),PSR(배),price
19,F&F,9098.2,15.015,11.495,1045.8,23.755,18.43,0.2828,6790.26,31704.4,59079.223,14.94788,3.20145,1.71803,112000.0
20,GKL,4914.5713,20.778000000000002,15.392000000000001,756.4286,13.09,9.386000000000001,-1.3235,1221.7382,9579.442,7945.2236,15.551620000000002,1.98341,2.39137,19450.0
21,GS,179898.17,11.626,4.843999999999999,8714.4,8.192,3.674,0.08775,7580.765,95442.13,189965.97,6.02842,0.47881999999999997,0.24056999999999998,51600.0
22,GS건설,102907.71,7.452000000000001,5.513,5673.2383,14.719000000000001,4.573,0.25283,7011.9634,51137.11,128858.87,4.3211900000000005,0.59253,0.23514000000000002,31050.0
23,GS글로벌,,,,,,,,,,,,,,2220.0
24,GS리테일,90237.6,2.49,1.7480000000000002,1577.8,6.971,2.736,0.05329,1939.9135,28542.058999999997,117191.69,20.43906,1.3891799999999999,0.33834000000000003,39250.0
25,HDC,16348.0,8.429,16.692999999999998,2729.0,12.366,7.55,0.099,4216.484,37417.816,27364.46,2.3835,0.26859,0.36727,11050.0
26,HDC현대EP,,,,,,,,,,,,,,5010.0
27,HSD엔진,6386.75,-2.349,-3.6910000000000003,-235.75,-10.719000000000001,-2.95,-0.0545,-715.5400400000001,6340.3853,19384.838,-5.67404,0.6403399999999999,0.20944000000000002,4470.0
28,JB금융지주,,,,3505.6,9.971,0.745,,1703.7859,18523.848,,2.9639900000000003,0.27262,,5490.0
29,JW중외제약,,,,,,,,,,,,,,29600.0
30,JW홀딩스,,,,,,,,,,,,,,6350.0
31,KB금융,,,,33402.867,9.043,0.675,,7978.1064,97651.79,,5.508830000000001,0.45006999999999997,,47650.0
32,KC그린홀딩스,6565.0,2.8480000000000003,,,,,,539.33636,,29262.34,8.95545,,0.16505999999999998,4820.0
33,KC코트렐,,,,,,,,,,,,,,6850.0
34,KEC,,,,,,,,,,,,,,1035.0
35,KG케미칼,,,,,,,,,,,,,,12000.0
36,KISCO홀딩스,,,,,,,,,,,,,,12800.0
37,KPX케미칼,7560.0,6.1770000000000005,5.218,394.5,8.488999999999999,7.058,0.106,7913.223000000001,98291.96,156198.34,6.79875,0.54735,0.34443,55600.0
38,KPX홀딩스,,,,,,,,,,,,,,54400.0
39,KR모터스,,,,,,,,,,,,,,279.0
40,KSS해운,2273.0,21.645,7.435,169.0,6.566,1.919,0.057999999999999996,728.8919,11817.021999999999,9803.38,9.57618,0.59067,0.7120000000000001,7730.0
41,KTB투자증권,,,,,,,,,,,,,,2345.0
42,KTcs,,,,,,,,,,,,,,2260.0
43,KTis,,,,,,,,,,,,,,2300.0
44,LF,18348.5,5.436,3.782,694.0,6.614,3.49,0.061,2700.0684,41521.887,62751.367,4.62951,0.30105,0.1992,18500.0
45,LG,69769.75,21.073,23.666,16511.5,8.625,7.211,0.55833,9161.36,110162.36,39670.797,8.08832,0.67264,1.8678700000000001,73800.0
46,LG디스플레이,232115.72,-6.666,-6.894,-16001.444,-12.089,-4.632,-0.06329,-4486.714,35160.598,64870.187999999995,-3.30977,0.42235,0.22891999999999998,16250.0
47,LG상사,105783.25,1.575,2.06,2178.75,15.151,4.167,0.0795,4825.8516,34677.344,272918.6,2.8596,0.39795,0.05057,15050.0
48,LG생활건강,76854.24,15.307,10.255,7881.731,20.319000000000003,13.392999999999999,17.7707,43915.926,247476.89,433766.25,28.713959999999997,5.09543,2.9071,1261000.0
49,LG유플러스,127370.95,5.122999999999999,3.353,4271.1816,6.132000000000001,2.986,0.05171,980.4746,16280.749,29172.615,13.513860000000001,0.81385,0.45419,14200.0
50,LG이노텍,80819.1,4.5360000000000005,2.2640000000000002,1829.7894,8.18,3.056,0.07786,7632.6230000000005,97120.13,341482.8,19.98003,1.5702200000000002,0.44658000000000003,140000.0
51,LG전자,626842.9,4.167,1.6969999999999998,10635.421,5.882999999999999,2.353,0.1095,4772.5034,83796.95,346640.3,14.897839999999999,0.8484799999999999,0.20511,72100.0
52,LG하우시스,31586.666,2.6910000000000003,1.245,393.33333999999996,4.195,1.565,0.033,3933.3333,96027.96,315866.66,12.94068,0.53005,0.16114,54700.0
53,LG헬로비전,11173.833,3.617,1.364,152.4,1.57,0.795,0.01525,215.63171,13798.88,14427.741000000002,23.74419,0.37105,0.35486999999999996,6050.0
54,LG화학,290522.0,3.6519999999999997,1.722,5003.579000000001,2.6689999999999996,1.605,0.030789999999999998,5843.468000000001,224481.97,371126.4,57.7568,1.50346,0.9093899999999999,317500.0
55,LS,100946.25,3.807,1.855,1872.75,4.129,1.75,0.02,4118.012,117357.234,313497.66,10.029110000000001,0.35191999999999996,0.13174,47800.0
56,LS네트웍스,,,,,,,,,,,,,,2310.0
57,LS산전,23236.25,7.606,5.325,1237.25,9.286,5.0360000000000005,0.10167000000000001,4144.1665,47165.63,77454.164,13.03036,1.1449,0.69719,54600.0
58,MH에탄올,,,,,,,,,,,,,,6140.0
59,NAVER,65844.37,11.588,5.361000000000001,3529.5908,8.785,3.35,0.30863,2921.1548,39325.07,39950.855,62.64646,4.653519999999999,4.58063,186500.0
60,NH투자증권,134037.5,4.726,3.6830000000000003,4936.846,9.516,0.905,,1654.969,18013.308999999997,44637.527,7.220680000000001,0.6634,0.26771,12700.0
61,NICE,,,,,,,,,,,,,,20900.0
62,NI스틸,,,,,,,,,,,,,,2210.0
63,OCI,26195.334,-6.024,-7.047000000000001,-1846.0,-5.379,-3.352,-0.03433,-7522.210999999999,135880.6,109836.58,-7.7769699999999995,0.43053,0.53261,62600.0
64,S&TC,2133.2673,8.191,7.242999999999999,154.52272,,,,2058.4612,34051.305,28418.135,9.618839999999999,0.58148,0.6967399999999999,19800.0
65,S&T모티브,9762.739,9.138,0.379,36.985783000000005,0.331,0.331,7.7435,165.54822,53248.84,66762.28,258.2329,0.80283,0.6403300000000001,42750.0
66,S&T중공업,3751.1553,5.132000000000001,4.437,166.45498999999998,2.718,1.973,3.4202,500.5759,23066.392999999996,11280.755,13.20479,0.28656,0.58595,6610.0
67,S&T홀딩스,15121.1455,8.351,8.234,1245.093,8.777000000000001,5.724,7.1511,3834.8796,50552.164000000004,92745.66,4.02881,0.30562,0.16658,15450.0
68,S-Oil,241711.42,2.528,0.8370000000000001,2022.2379999999998,3.003,1.244,0.03606,1676.3186,56260.46,207291.3,48.26051,1.4379600000000001,0.39027,95300.0
69,SBS미디어홀딩스,,,,,,,,,,,,,,2045.0
70,SG세계물산,,,,,,,,,,,,,,904.0
71,SG충방,,,,,,,,,,,,,,1725.0
72,SH에너지화학,,,,,,,,,,,,,,1020.0
73,SIMPAC,,,,,,,,,,,,,,2945.0
74,SK,1004259.8,4.584,3.247,32604.637000000002,7.992000000000001,2.6519999999999997,0.051,19525.982,340998.4,1415917.6,12.06085,0.69062,0.16632,262000.0
75,SKC,25734.857000000004,6.3389999999999995,3.13,805.61536,4.772,2.023,0.04827,1971.8972,44313.49,68563.11,26.421259999999997,1.17571,0.75988,51000.0
76,SK가스,47329.0,4.069,2.4019999999999997,1137.0,,,,11776.503,,512760.0,6.41107,,0.14724,84600.0
77,SK네트웍스,142183.0,1.745,0.505,718.5,2.7430000000000003,0.821,,260.1678,9861.306,57262.285,19.12228,0.5045,0.08688,5940.0
78,SK디스커버리,,,,,,,,,,,,,,26150.0
79,SK렌터카,6580.0,7.447,2.5839999999999996,170.0,5.055,1.335,,766.3315,12525.915,29661.535,13.440660000000001,0.8223,0.34725,11800.0
80,SK이노베이션,505946.66,2.695,1.386,7012.619000000001,3.5260000000000002,1.876,0.04482,6834.3203,206415.84,539883.8,19.021639999999998,0.6298,0.24079,150000.0
81,SK증권,,,,,,,,,,,,,,607.0
82,SK텔레콤,179575.42,6.792000000000001,6.138,11022.333,4.868,2.573,0.052820000000000006,13666.832,312617.34,222396.25,16.792479999999998,0.73412,1.0319399999999999,238000.0
83,SK하이닉스,269907.34,10.051,7.471,20163.91,4.249,3.14,4.2591,2765.4966,70070.6,37075.062000000005,34.02644,1.34293,2.53809,94100.0
84,SPC삼립,24422.334,2.136,1.365,333.4,10.484000000000002,4.0889999999999995,0.0824,3982.69,42133.324,283025.94,19.40899,1.83465,0.27312,87200.0
85,STX,,,,,,,,,,,,,,8010.0
86,STX엔진,,,,,,,,,,,,,,6780.0
87,STX중공업,,,,,,,,,,,,,,3055.0
88,TCC스틸,,,,,,,,,,,,,,2720.0
89,WISCOM,1154.5007,0.7170000000000001,0.932,10.760110000000001,0.915,0.821,0.6057,70.2062,7697.406999999999,7532.7397,37.88839,0.34557,0.35313,2660.0
90,YG PLUS,,,,,,,,,,,,,,1370.0
91,가온전선,,,,,,,,,,,,,,23300.0
92,강남제비스코,,,,,,,,,,,,,,20350.0
93,강원랜드,15238.0,33.944,22.358,3406.889,9.317,7.922000000000001,0.36929,1592.8104,18387.791,7122.541,17.13952,1.48468,3.8329,29600.0
94,갤럭시아에스엠,,,,,,,,,,,,,,1485.0
95,경농,,,,,,,,,,,,,,11350.0
96,경동나비엔,,,,,,,,,,,,,,46600.0
97,경동인베스트,,,,,,,,,,,,,,36650.0
98,경방,3438.921,9.311,12.685,436.2163,6.015,3.264,13.805,1590.9681,28073.682,12543.815,5.83293,0.33055999999999996,0.7398100000000001,9280.0
99,경인양행,,,,,,,,,,,,,,7740.0
100,경인전자,133.10901,-12.107999999999999,1.8259999999999998,2.4303555,0.445,0.425,-20.2273,154.72118,40940.586,8473.979,133.14273,0.50317,2.43097,20600.0
101,계룡건설산업,,,,,,,,,,,,,,20250.0
102,계양전기,,,,,,,,,,,,,,2865.0
103,고려개발,,,,,,,,,,,,,,8450.0
104,고려산업,,,,,,,,,,,,,,3360.0
105,고려아연,67690.57,12.378,9.672,6546.7856,10.019,8.738999999999999,0.12944,34380.348,379127.1,358720.56,11.05283,1.0023,1.05932,425000.0
106,고려제강,,,,,,,,,,,,,,20550.0
107,광동제약,,,,,,,,,,,,,,6650.0
108,광명전기,,,,,,,,,,,,,,2280.0
109,광전자,,,,,,,,,,,,,,2155.0
110,광주신세계,,,,,,,,,,,,,,164000.0
111,교보증권,,,,,,,,,,,,,,9220.0
112,국도화학,11214.487,3.755,3.1310000000000002,351.10067999999995,6.888,3.99,5.9854,5957.8765,92813.09,192999.97,7.8971100000000005,0.50693,0.24378000000000002,47050.0
113,국동,,,,,,,,,,,,,,1235.0
114,국보,,,,,,,,,,,,,,2435.0
115,국제약품,,,,,,,,,,,,,,4630.0
116,그린케미칼,,,,,,,,,,,,,,3455.0
117,극동유화,,,,,,,,,,,,,,3445.0
118,금강공업,,,,,,,,,,,,,,3815.0
119,금양,,,,,,,,,,,,,,2400.0
120,금호산업,16264.6,3.3930000000000002,0.679,110.5,7.165,0.888,0.2345,736.6297,11077.416000000001,44772.0,12.95088,0.86121,0.21308000000000002,11500.0
121,금호석유화학,49779.316,7.388,5.92,2946.9673,11.841,6.438,10.0267,8796.374,94221.34,148634.12,8.81045,0.8225299999999999,0.52141,77500.0
122,금호전기,,,,,,,,,,,,,,4290.0
123,금호타이어,23815.0,1.05,-3.2119999999999997,-765.0,-5.534,-1.865,-0.017,-266.309,4706.5327,8290.391,-14.94505,0.8456299999999999,0.48007,4195.0
124,기아자동차,568871.8,3.4610000000000003,3.59,20420.889,7.251,3.835,0.09629,5029.0273,72296.76,140336.28,8.23221,0.5726399999999999,0.29501,44300.0
125,기업은행,,,,16876.625,7.688,0.563,,2507.5833,33766.57,,4.32688,0.32132,,11800.0
126,까뮤이앤씨,,,,,,,,,,,,,,1270.0
127,깨끗한나라,,,,,,,,,,,,,,2390.0
128,나노메딕스,,,,,,,,,,,,,,7790.0
129,남광토건,,,,,,,,,,,,,,11300.0
130,남선알미늄,,,,,,,,,,,,,,3230.0
131,남성,,,,,,,,,,,,,,3150.0
132,남양유업,,,,,,,,,,,,,,439500.0
133,남영비비안,,,,,,,,,,,,,,2050.0
134,남해화학,,,,,,,,,,,,,,8160.0
135,넥센,,,,,,,,,,,,,,6050.0
136,넥센타이어,20931.334,10.299000000000001,5.797000000000001,1213.3334,8.174,3.614,0.049,1165.1064,15045.93,20093.846,6.25694,0.48452,0.3628,9130.0
137,넥스트사이언스,,,,,,,,,,,,,,8090.0
138,노루페인트,,,,,,,,,,,,,,8150.0
139,노루홀딩스,9020.0,3.548,2.8819999999999997,260.0,1.901,2.57,0.046,519.4265,35602.832,66931.82,20.984679999999997,0.30616,0.16285,12500.0
140,녹십자,13611.75,4.015,0.718,97.666664,1.242,0.552,0.021,1125.2263,92734.91,116473.76,108.86698999999999,1.32097,1.05174,132500.0
141,녹십자홀딩스,,,,,,,,,,,,,,22250.0
142,농심,23439.43,3.363,3.032,710.68945,3.7239999999999998,2.741,3.9023,11671.816,333398.97,385349.47,20.60519,0.72136,0.62411,240500.0
143,농심홀딩스,,,,,,,,,,,,,,78500.0
144,다스코,2162.0962,1.4169999999999998,0.873,18.885138,1.5130000000000001,0.884,0.9481,122.85883000000001,8222.155999999999,14039.586000000001,56.65039,0.84649,0.49573999999999996,6960.0
145,다우기술,,,,,,,,,,,,,,19000.0
146,대교,7571.0,3.83,3.0380000000000003,230.0,3.654,2.7260000000000004,0.067,212.7152,6975.4463,7270.7305,26.702370000000002,0.81429,0.7812100000000001,6100.0
147,대덕전자,10859.667,4.942,5.433,590.0,5.841,4.886,0.061,725.5747700000001,14904.243,13355.085,13.7684,0.67028,0.74803,10450.0
148,대동공업,8494.0,4.6739999999999995,,,,,,965.096,,35797.055,5.83362,,0.15728,5680.0
149,대림비앤코,,,,,,,,,,,,,,4175.0
150,대림산업,95187.63,10.675,7.937,7554.579000000001,12.382,5.843999999999999,0.2538,18230.025,154812.61,246600.08,4.66812,0.5497,0.34509,90500.0
151,대림통상,,,,,,,,,,,,,,4120.0
152,대상,29740.0,4.41,3.1319999999999997,931.4,9.752,4.195,0.064,2573.6953,27376.678,82569.26,8.1789,0.7689,0.25494,23200.0
153,대상홀딩스,,,,,,,,,,,,,,6740.0
154,대성산업,,,,,,,,,,,,,,3505.0
155,대성에너지,,,,,,,,,,,,,,5240.0
156,대성홀딩스,,,,,,,,,,,,,,8330.0
157,대신증권,,,,,,,,,,,,,,11950.0
158,대양금속,,,,,,,,,,,,,,15050.0
159,대영포장,,,,,,,,,,,,,,1110.0
160,대우건설,85901.1,5.053999999999999,2.7739999999999996,2382.5789,10.109,2.658,0.14131,586.5518,6185.191,20668.053,7.96179,0.75503,0.22595,4740.0
161,대우부품,,,,,,,,,,,,,,2100.0
162,대우조선해양,81925.336,2.687,1.07,876.6667,2.129,0.762,0.063,770.4811,36571.043,76418.79,28.81317,0.6070399999999999,0.2905,27850.0
163,대웅,13656.794,7.875,5.224,713.4238,10.43,4.376,7.3743,1073.9116,14533.691,23488.697,12.05872,0.8910299999999999,0.55133,12950.0
164,대웅제약,11134.258999999998,4.013,2.593,288.65607,4.343,2.353,5.3914,1899.2607,50316.934,96096.21,72.39659,2.7326799999999998,1.43086,137500.0
165,대원강업,,,,,,,,,,,,,,3395.0
166,대원전선,,,,,,,,,,,,,,1165.0
167,대원제약,3151.6667,10.999,8.26,260.33333999999996,13.610999999999999,8.763,0.12267,1305.7623,10273.183,15568.704,11.410960000000001,1.45038,0.95705,17300.0
168,대원화성,,,,,,,,,,,,,,1420.0
169,대유에이텍,,,,,,,,,,,,,,898.0
170,대유플러스,,,,,,,,,,,,,,775.0
171,대창,,,,,,,,,,,,,,1425.0
172,대창단조,,,,,,,,,,,,,,28850.0
173,대한방직,,,,,,,,,,,,,,20150.0
174,대한유화,20742.965,5.489,5.127000000000001,1063.4232,6.112,5.303,5.8593,16360.357,287982.8,319122.53,7.181989999999999,0.40801,0.3682,117500.0
175,대한전선,,,,,,,,,,,,,,616.0
176,대한제강,10730.0,4.007,2.889,310.0,6.9110000000000005,4.64,,1257.7732,20550.646,43535.18,4.61132,0.28223000000000004,0.13323,6030.0
177,대한제당,,,,,,,,,,,,,,19950.0
178,대한제분,,,,,,,,,,,,,,147500.0
179,대한항공,128245.65,1.117,-4.842,-6210.1763,-23.038,-2.391,0.00514,-6468.8735,25845.479,133651.27,-3.6559699999999995,0.91505,0.17695,28500.0
180,대한해운,10833.143,14.879000000000001,10.49,1136.4286,12.959000000000001,3.616,0.0604,4450.669,37760.47,44349.953,4.79703,0.5654100000000001,0.4814,23000.0
181,대한화섬,,,,,,,,,,,,,,89500.0
182,대현,,,,,,,,,,,,,,2495.0
183,대호에이엘,,,,,,,,,,,,,,2820.0
184,더존비즈온,2586.1667,24.901999999999997,19.74,510.5,24.016,13.942,0.4318,1675.1570000000002,7900.090999999999,8525.225,54.263569999999994,11.5062,10.66248,81000.0
185,덕성,,,,,,,,,,,,,,2920.0
186,덕양산업,,,,,,,,,,,,,,1245.0
187,도화엔지니어링,5161.277,5.245,3.3680000000000003,173.82974,6.935,4.428999999999999,13.3176,515.5093400000001,7536.7783,15306.277,17.322670000000002,1.18486,0.5834199999999999,8930.0
188,동국제강,56873.43,3.891,-0.34600000000000003,-197.0,-0.96,-0.34700000000000003,0.0735,-193.25503999999998,20255.365,59595.305,-25.45859,0.2429,0.08256000000000001,5950.0
189,동남합성,,,,,,,,,,,,,,24850.0
190,동방,,,,,,,,,,,,,,1555.0
191,동방아그로,,,,,,,,,,,,,,6870.0
192,동부건설,10790.333,4.433,4.625,499.0,11.946,6.541,,2150.8354,18441.498,50562.594000000005,3.85897,0.45006999999999997,0.16415,8540.0
193,동부제철,,,,,,,,,,,,,,7800.0
194,동서,5022.3594,7.66,27.984,1405.4575,10.526,9.658,13.6985,1373.4845,13558.618,5037.4717,12.668510000000001,1.28332,3.45411,17400.0
195,동성제약,,,,,,,,,,,,,,16050.0
196,동성코퍼레이션,,,,,,,,,,,,,,5220.0
197,동성화학,,,,,,,,,,,,,,18200.0
198,동아쏘시오홀딩스,,,,,,,,,,,,,,107500.0
199,동아에스티,,,,,,,,,,,,,,119000.0
200,동아지질,3840.0,6.51,5.468999999999999,210.0,11.297,6.513999999999999,0.302,1826.0869,17433.629,33391.305,8.26905,0.8661399999999999,0.45221000000000006,19150.0
201,동양,,,,,,,,,,,,,,1435.0
202,동양고속,,,,,,,,,,,,,,27250.0
203,티탑스,,,,,,,,,,,,,,526.0
204,동양물산기업,,,,,,,,,,,,,,1290.0
205,동양생명,47430.0,,3.1630000000000003,1500.0,5.94,0.45399999999999996,,917.2118,17400.389,29394.16,3.9358400000000002,0.20747,0.12280999999999999,4000.0
206,동양철관,,,,,,,,,,,,,,1040.0
207,동원F&B,29945.4,3.2710000000000004,2.1319999999999997,638.4,9.696,4.386,0.0736,16542.615,177335.58,775963.7,13.571010000000001,1.26596,0.28931999999999997,226000.0
208,동원산업,27260.0,8.18,3.228,880.0,6.89,3.003,0.092,20572.543,311068.97,768229.44,9.697389999999999,0.6413399999999999,0.25969000000000003,211500.0
209,동원수산,,,,,,,,,,,,,,10150.0
210,동원시스템즈,,,,,,,,,,,,,,29400.0
211,동일고무벨트,,,,,,,,,,,,,,5510.0
212,동일산업,3546.9126,-0.276,1.057,37.506763,1.058,0.9209999999999999,-1.0754,1546.5334,163392.25,146251.47,37.43857,0.35436,0.39589,57900.0
213,동화약품,,,,,,,,,,,,,,8310.0
214,두산,184836.6,6.651,0.5820000000000001,1075.0,-0.033,0.365,0.034,-26.86901,95855.055,801028.3,-2381.9268,0.66768,0.0799,70300.0
215,두산건설,,,,,,,,,,,,,,1385.0
216,두산인프라코어,80997.836,10.433,5.003,4052.5,11.181,3.5839999999999996,0.07,1112.7598,10696.06,38911.12,4.42593,0.46045,0.12657000000000002,5550.0
217,두산중공업,153963.33,6.815,1.2990000000000002,2000.0,-3.0180000000000002,0.815,0.02567,-478.6578,15994.291000000001,83745.17,-11.61581,0.34762,0.06639,5720.0
218,디씨엠,,,,,,,,,,,,,,12150.0
219,디아이,,,,,,,,,,,,,,3490.0
220,디아이동일,,,,,,,,,,,,,,74100.0
221,디아이씨,,,,,,,,,,,,,,2070.0
222,디와이,,,,,,,,,,,,,,5630.0
223,디티알오토모티브,,,,,,,,,,,,,,29350.0
224,디피씨,,,,,,,,,,,,,,5170.0
225,락앤락,,,,,,,,,,,,,,14300.0
226,롯데관광개발,,,,,,,,,,,,,,14300.0
227,롯데손해보험,,,,,,,,,,,,,,2075.0
228,롯데쇼핑,177067.08,3.136,1.204,2131.1667,1.4280000000000002,0.726,0.02288,5912.0825,414354.1,625927.44,19.62084,0.27995,0.18533,135500.0
229,롯데정밀화학,13070.0,14.147,13.282,1736.0,11.949000000000002,9.815,0.149,6683.1396,59206.91,50658.914000000004,5.8430599999999995,0.65955,0.77084,45150.0
230,롯데지주,90071.5,2.166,7.4270000000000005,6690.0,9.75,2.3369999999999997,0.028999999999999998,6800.956999999999,107113.58,85055.875,5.094869999999999,0.32349,0.40738,38950.0
231,롯데칠성음료,24717.637000000002,4.793,-0.752,-185.9,-1.0959999999999999,-0.557,-0.02625,-1533.8525,149582.23,281882.6,-80.84219,0.8289799999999999,0.4399,140000.0
232,롯데케미칼,153130.9,7.282,5.445,8338.1,6.1610000000000005,3.944,0.06881,23412.55,388459.3,446765.94,8.09395,0.48783000000000004,0.42416000000000004,224000.0
233,롯데푸드,17897.0,2.937,2.137,382.42856,5.53,3.1439999999999997,0.046,33661.11,764445.3,1581188.6,9.74418,0.42907,0.20744,413000.0
234,롯데하이마트,40442.777,2.839,1.806,730.375,3.516,2.293,0.03625,3091.151,88503.56,171311.72,8.49198,0.2966,0.15323,30900.0
235,마니커,,,,,,,,,,,,,,811.0
236,만도,59064.0,3.6860000000000004,2.52,1488.4615,9.615,3.245,0.0583,3034.3559999999998,33057.574,125782.84,11.05671,1.0149,0.26673,35200.0
237,메리츠금융지주,,,,,,,,,,,,,,11800.0
238,메리츠종금증권,113973.0,5.121,4.327,4931.4,13.735999999999999,1.423,,694.2031,5661.2227,16196.6045,5.084969999999999,0.62354,0.21795,3790.0
239,메리츠화재,76781.0,5.3229999999999995,3.675,2821.3333,10.663,1.295,,2436.6643,26183.322,67541.34,6.50479,0.60535,0.23467,17850.0
240,메타랩스,,,,,,,,,,,,,,1310.0
241,명문제약,1520.0,-2.303,-3.947,-60.0,-6.584,-2.403,-0.015,-236.34882000000002,3546.1958,6193.969,-19.69547,1.31267,0.75154,4875.0
242,모나리자,,,,,,,,,,,,,,3630.0
243,모나미,,,,,,,,,,,,,,3670.0
244,모토닉,,,,,,,,,,,,,,8850.0
245,무림P&P,,,,,,,,,,,,,,4225.0
246,무림페이퍼,,,,,,,,,,,,,,2485.0
247,무학,1860.0,-4.8389999999999995,,,,,,-666.6667,,6526.316,-11.985,,1.22427,8490.0
248,문배철강,,,,,,,,,,,,,,2560.0
249,미래산업,,,,,,,,,,,,,,133.0
250,미래아이앤지,,,,,,,,,,,,,,325.0
251,미래에셋대우,163672.0,4.452,3.912,6402.5835,7.361000000000001,0.504,,783.8467,12852.94,20146.92,9.644739999999999,0.58819,0.37524,7550.0
252,미래에셋생명,,,,,,,,,,,,,,4135.0
253,미원상사,,,,,,,,,,,,,,57000.0
254,미원홀딩스,,,,,,,,,,,,,,41100.0
255,미원화학,1547.2432,10.008,8.729,135.06621,14.072000000000001,12.456,12.2408,6166.3057,50577.61,70637.766,7.2328600000000005,0.88181,0.63139,44600.0
256,미창석유공업,,,,,,,,,,,,,,79400.0
257,백광산업,,,,,,,,,,,,,,2460.0
258,백광소재,,,,,,,,,,,,,,4345.0
259,백산,4658.0,8.738,5.667999999999999,264.0,18.094,8.316,0.139,1115.7025,6827.1475,19247.933999999997,6.318890000000001,1.03264,0.36627,8990.0
260,범양건영,,,,,,,,,,,,,,3270.0
261,벽산,,,,,,,,,,,,,,1925.0
262,보락,,,,,,,,,,,,,,2040.0
263,보령제약,5180.5,7.374,6.36,329.5,12.227,6.586,0.075,747.73755,6767.35,11720.588,19.39183,2.14264,1.23714,16600.0
264,보해양조,,,,,,,,,,,,,,1130.0
265,부광약품,1681.9362,5.671,-4.42,-74.348434,-2.004,-1.686,14.408,-111.18867,5090.8853,2522.9756,-129.05992,2.8187599999999997,5.68773,14350.0
266,부국증권,,,,,,,,,,,,,,20850.0
267,부국철강,,,,,,,,,,,,,,5230.0
268,부산도시가스,,,,,,,,,,,,,,35700.0
269,부산산업,,,,,,,,,,,,,,145500.0
270,부산주공,,,,,,,,,,,,,,469.0
271,비상교육,,,,,,,,,,,,,,7770.0
272,비티원,,,,,,,,,,,,,,2985.0
273,빙그레,8725.667,4.959,4.298,375.0,6.834,5.654,0.139,3857.382,64127.207,88574.29,13.843589999999999,0.8327200000000001,0.60288,56000.0
274,사조대림,,,,,,,,,,,,,,16000.0
275,사조동아원,,,,,,,,,,,,,,1005.0
276,사조산업,,,,,,,,,,,,,,37300.0
277,사조씨푸드,,,,,,,,,,,,,,5290.0
278,사조오양,,,,,,,,,,,,,,7570.0
279,삼광글라스,2842.4482,0.395,0.15,4.266994,-0.07200000000000001,0.059000000000000004,0.2018,-40.91648,56948.492,58553.844000000005,-745.4209599999999,0.53557,0.52089,30500.0
280,삼부토건,,,,,,,,,,,,,,717.0
281,삼성SDI,100974.26,4.577,3.985,4023.6643,2.94,2.053,4.0939,5065.879,184304.64,143465.16,46.58619,1.28049,1.645,236000.0
282,삼성공조,,,,,,,,,,,,,,7990.0
283,삼성물산,307615.0,2.818,3.407,10478.907,4.768,2.373,24.8146,5488.656999999999,146097.4,160787.72,19.76804,0.74266,0.6748,108500.0
